gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cpm_total_poly_1,cpm_total_poly_2,cpm_total_poly_3,cpm_10-LN_GFP3_80S_S10,cpm_18-LN_GFP4_80S_S18,cpm_2-LN_GFP2_80S_S2,raw_total_poly_1,raw_total_poly_2,raw_total_poly_3,raw_10-LN_GFP3_80S_S10,raw_18-LN_GFP4_80S_S18,raw_2-LN_GFP2_80S_S2
OR4F5,1.490075064,-3.255272886,3.306132619,-0.887243535,0.374947799,,0.012659923,0,0,0.082534666,0,0,1,0,0,1,0,0
OR4F29,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0.057896021,-1.881159135,4.078019417,-0.382350078,0.702201715,,0,0.011308172,0,0,0,0,0,1,0,0,0,0
SAMD11,525.0062972,-1.076176598,0.383235136,-1.968108953,0.049055503,0.162633167,8.748006901,11.86227253,10.42051282,11.80245724,6.996848131,5.175709576,691,1049,956,143,232,422
NOC2L,5465.017429,0.574526193,0.191228281,1.320924379,0.18652658,0.463707329,190.291305,206.8603921,210.404978,50.75881959,57.12082052,46.96159233,15031,18293,19303,615,1894,3829
KLHL17,3309.479708,-1.373267043,0.206412015,-5.093399966,3.51699E-07,4.4316E-06,44.58824936,63.02044307,63.41688659,49.85093827,60.01606802,59.98671928,3522,5573,5818,604,1990,4891
PLEKHN1,618.4132576,-0.550372477,0.192655099,-1.185768673,0.235713666,0.549890701,15.67298487,14.37268673,16.25207595,8.088397268,9.107966102,8.940976968,1238,1271,1491,98,302,729
PERM1,132.6742945,-1.243358691,0.330435331,-2.788535337,0.005294697,0.025267358,2.101547244,2.668728614,2.550627615,1.980831984,1.658735548,2.980325656,166,236,234,24,55,243
HES4,3523.463206,-2.07754696,0.308710747,-5.686937951,1.29337E-08,2.03148E-07,34.34637152,44.00009761,46.72880591,75.51921939,43.18744191,78.06490865,2713,3891,4287,915,1432,6365
ISG15,1786.772496,0.414125558,0.42003203,0.219501031,0.826259777,1,48.81666369,56.88010563,81.93618709,22.61449849,7.961930632,21.65948604,3856,5030,7517,274,264,1766
AGRN,7132.54555,-0.500330388,0.183713466,-0.97108991,0.331503508,0.708146923,172.2002748,194.2743966,183.7977899,86.82646864,123.3496071,87.43515063,13602,17180,16862,1052,4090,7129
RNF223,594.143684,-0.989794065,0.314296739,-2.124953544,0.033590489,0.119304152,12.22948577,9.883342409,14.48625684,9.739090588,6.36351274,11.52883176,966,874,1329,118,211,940
C1orf159,1968.049992,-1.320999518,0.236883709,-4.217560706,2.46959E-05,0.000215511,29.07984349,40.61895416,34.78227657,35.57244105,30.70168706,31.64296376,2297,3592,3191,431,1018,2580
TTLL10,23.20827672,-1.377680563,0.594422327,-1.776098273,0.075716721,0.229581743,0.329158002,0.384477851,0.425104602,0.41267333,0.512700079,0.269823722,26,34,39,5,17,22
TNFRSF18,973.0260617,-2.225125359,0.911932061,-2.086994576,0.036888625,0.128930011,9.30504352,5.461847121,16.39377749,33.42653973,7.027006959,10.63350759,735,483,1504,405,233,867
TNFRSF4,12.27224126,-1.032304755,1.182403066,-0.600790611,0.547979458,0.993187272,0.164579001,0.282704302,0.337903658,0.082534666,0,0.515118015,13,25,31,1,0,42
SDF4,15953.2026,0.794541489,0.245108416,1.928181017,0.053832615,0.175055783,559.5179638,623.2272885,694.6536207,152.3589934,122.0829364,129.969181,44196,55113,63729,1846,4048,10597
B3GALT6,8708.108058,-1.463816047,0.218073751,-5.236246677,1.63875E-07,2.19296E-06,110.3692101,182.7287528,139.5760111,137.6678229,169.9148378,145.5821627,8718,16159,12805,1668,5634,11870
UBE2J2,4340.049631,-0.030601716,0.229192343,0,1,1,120.7756669,142.3585785,135.9026714,56.45371155,50.4557195,45.66153258,9540,12589,12468,684,1673,3723
SCNN1D,705.3132345,-1.644986367,0.261865032,-5.052443474,4.36193E-07,5.3315E-06,9.836760292,11.00285145,10.59491471,14.60863588,11.06828993,11.27127275,777,973,972,177,367,919
ACAP3,7164.029259,-0.352284041,0.183787537,-0.165168685,0.868811212,1,174.0866033,211.7907551,199.9953653,82.45213134,117.0765709,86.92003261,13751,18729,18348,999,3882,7087
PUSL1,3256.577816,-0.564028769,0.329868157,-0.73393163,0.462990409,0.891743532,73.89597146,65.96056782,102.1341058,51.99683958,29.4651751,52.65241993,5837,5833,9370,630,977,4293
CPTP,6461.088113,-0.427254254,0.277488966,-0.379568819,0.70426551,1,146.7031895,186.6300722,178.8491363,104.4888872,74.94468796,74.74117098,11588,16504,16408,1266,2485,6094
TAS1R3,86.39690941,-1.507420513,0.438530034,-2.703332325,0.006864807,0.031372746,0.974814083,1.696225814,1.362514751,1.733227986,1.809529689,0.932118312,77,150,125,21,60,76
DVL1,27469.89225,-1.959437734,0.227851518,-7.186740087,6.63566E-13,1.68632E-11,328.512346,359.3171682,358.0688767,552.2394502,543.7938304,424.4204499,25949,31775,32850,6691,18031,34605
MXRA8,2068.039683,-0.898176518,0.202268721,-2.848925036,0.004386722,0.021435633,48.24696715,40.96950749,44.7231842,32.43612374,30.46041643,31.5080519,3811,3623,4103,393,1010,2569
AURKAIP1,14516.26047,0.11470493,0.327006455,0,1,1,405.6872375,430.9205139,558.4784464,210.6284676,123.1384953,138.9837462,32045,38107,51236,2552,4083,11332
CCNL2,7562.597657,-1.073033396,0.17066348,-4.401089807,1.07709E-05,0.000101483,164.1359037,143.7155591,146.9335908,92.52136059,120.2734067,156.5468176,12965,12709,13480,1121,3988,12764
MRPL20,9169.994015,0.392631104,0.199577733,0.354263012,0.723141785,1,270.3146792,359.4641745,338.3614633,90.7881326,98.01619149,90.66077058,21352,31788,31042,1100,3250,7392
ANKRD65,23.89497895,-2.08842318,0.820726518,-2.152355317,0.03136938,0.112832884,0.126599232,0.27139613,0.348803776,0.82534666,0.180952969,0.257559007,10,24,32,10,6,21
TMEM88B,0.057896021,-1.881159135,4.078019417,-0.382350078,0.702201715,,0,0.011308172,0,0,0,0,0,1,0,0,0,0
VWA1,4945.485341,0.619783182,0.215351706,1.383109951,0.166631155,0.425369355,141.2847424,214.4707919,201.1180774,39.28650102,54.79859075,45.19547343,11160,18966,18451,476,1817,3685
ATAD3C,43.65048446,0.235872289,0.599470441,0,1,1,1.810369011,1.413521512,1.438815577,0,0.904764845,0.564176873,143,125,132,0,30,46
ATAD3B,3827.461507,-0.770250516,0.228882974,-1.958740801,0.05014315,0.165552759,73.04775661,96.97888387,92.64010298,58.92975153,60.07638568,49.81927084,5770,8576,8499,714,1992,4062
ATAD3A,4242.314242,0.154364517,0.210191937,0,1,1,113.0657737,152.9995684,148.797511,46.1368783,49.85254293,45.5879443,8931,13530,13651,559,1653,3717
