gene_name,Ensembl_ID,outdegree_diff,rank_outdegree,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpvalue,rank_exp,chromvar_ave_diff,motif_name,rank_chromvar,TF_rank,,,,,,,,,,,,,,
AR,ENSG00000169083,909.4122651,34,11109.2272,6.583832569,1.602568546,4.108300132,3.99E-05,0.001185539,-4.399482401,10,51.74961871,AR_M5288_1.02,3,47,,,,,,,,,,,,,,
FOXA1,ENSG00000129514,1487.988009,16,9767.949754,1.342032788,0.466695174,2.875608879,0.00403249,0.037304343,-2.394426655,26,28.29937944,FOXA1_M4566_1.02,14,56,,,,,,,,,,,,,,
PGR,ENSG00000082175,665.762566,49,9.110784983,5.459291615,1.703463417,3.204818818,0.001351475,0.017283264,-2.869191907,19,35.36898943,PGR_M6436_1.02,4,72,,,,,,,,,,,,,,
FOXO3,ENSG00000118689,1066.705849,29,3394.289228,1.060751378,0.362721025,2.924427604,0.003450903,0.033403357,-2.462067197,24,26.06700986,FOXO3_M5466_1.02,22.5,75.5,,,,,,,,,,,,,,
FOXB2,ENSG00000204612,1321.288068,20,3.788711784,2.997743285,2.038521458,1.47054782,0.141413444,0.36318441,-0.8495093,93,27.98952716,FOXB2_M0737_1.02,15,128,,,,,,,,,,,,,,
FOXK1,ENSG00000164916,1111.15372,25,3231.6759,0.509788565,0.334018663,1.526227785,0.126953146,0.341255663,-0.896356532,84,25.49565682,FOXK1_M0718_1.02,27.5,136.5,,,,,,,,,,,,,,
GATA2,ENSG00000179348,583.5570962,58,3270.871762,2.66141508,1.084078694,2.455001739,0.014088391,0.088209561,-1.851138614,34,17.384611,GATA2_M4622_1.02,47,139,,,,,,,,,,,,,,
FOXO4,ENSG00000184481,834.3514136,39,665.1942671,0.798679805,0.459918536,1.736567984,0.082463455,0.264110433,-1.083738474,70,17.88974086,FOXO4_M3282_1.02,45,154,,,,,,,,,,,,,,
HOXA13,ENSG00000106031,877.4628627,35,1094.266903,1.391543849,1.145190056,1.215120443,0.224320157,0.467877678,-0.649131699,108,20.6668921,HOXA13_M5534_1.02,41,184,,,,,,,,,,,,,,
HOXB13,ENSG00000159184,631.1087318,53,3955.598397,1.590705897,1.213990207,1.310311968,0.19009032,0.426412106,-0.721039997,102,21.13480801,HOXB13_M0897_1.02,40,195,,,,,,,,,,,,,,
FOXJ2,ENSG00000065970,2011.546394,5,1553.665779,0.164013616,0.342803146,0.478448397,0.632331094,0.808543693,-0.199055462,193,29.65598552,FOXJ2_M6241_1.02,11,209,,,,,,,,,,,,,,
HOXC12,ENSG00000123407,505.5935088,68,30.26755205,2.374068399,1.563824327,1.518117066,0.12898489,0.344249263,-0.889461164,85,9.949505148,HOXC12_M5551_1.02,61,214,,,,,,,,,,,,,,
FOXN3,ENSG00000053254,1894.300723,8.5,3097.128717,0.20042475,0.429731376,0.46639543,0.640932482,0.813750225,-0.193187718,195,29.65598552,FOXN3_M6241_1.02,11,214.5,,,,,,,,,,,,,,
NFYB,ENSG00000120837,176.134622,120,1953.718106,0.543754486,0.27326965,1.989809279,0.046611949,0.188348901,-1.331502739,51,7.721011529,NFYB_M6372_1.02,77,248,,,,,,,,,,,,,,
FOXP3,ENSG00000049768,1044.27476,30,8.816617779,0.387818964,0.778299852,0.498289911,0.618279718,0.799108002,-0.208815,188,25.41083118,FOXP3_M5474_1.02,30.5,248.5,,,,,,,,,,,,,,
FOXL2,ENSG00000183770,2117.641001,1,137.6217252,0.16417264,1.307971496,0.125516986,0.900114278,0.954595811,-0.045702349,245,31.32757558,FOXL2_M4105_1.02,8,254,,,,,,,,,,,,,,
NFIC,ENSG00000141905,254.6783092,93,4258.981558,0.698940702,0.582747121,1.19938937,0.230376579,0.474922586,-0.637561675,109,10.67799943,NFIC_M1970_1.02,59,261,,,,,,,,,,,,,,
HOXC13,ENSG00000123364,847.2529866,38,226.4120472,0.525603708,1.228614192,0.427802081,0.668795221,0.830156316,-0.174706839,206,20.34206538,HOXC13_M5553_1.02,42,286,,,,,,,,,,,,,,
FOXC2,ENSG00000176692,2000.120703,6,0.52973799,-0.333324742,2.154195941,-0.154732787,0.877031981,NA,-0.05698457,283,29.0103585,FOXC2_M5444_1.02,13,302,,,,,,,,,,,,,,
FOXS1,ENSG00000179772,1375.990833,19,1.241705478,-0.027944246,1.194764992,-0.023388906,0.981340054,NA,-0.008180475,266,25.73510004,FOXS1_M0732_1.02,25,310,,,,,,,,,,,,,,
HSF4,ENSG00000102878,120.9602811,161,634.9142103,1.842526725,0.686096302,2.68552202,0.00724166,0.05605755,-2.140161852,30,5.179018783,HSF4_M5567_1.02,122,313,,,,,,,,,,,,,,
ARID5A,ENSG00000196843,421.5018304,74,568.8863493,0.882291396,0.48349454,1.824821838,0.068027919,0.234907274,-1.167312813,64,3.014581525,ARID5A_M0108_1.02,187,325,,,,,,,,,,,,,,
HNF1B,ENSG00000108753,189.2226553,113,246.288702,1.875327365,1.716883721,1.092285599,0.274707588,0.523408985,-0.561129344,117,6.285913859,HNF1B_M5522_1.02,95,325,,,,,,,,,,,,,,
HOXC10,ENSG00000180818,647.191195,51,198.0244964,0.260054913,1.315705641,0.197654327,0.843315526,0.927062623,-0.074009904,234,14.48894042,HOXC10_M5544_1.02,50,335,,,,,,,,,,,,,,
HNF1A,ENSG00000135100,240.7724522,98,235.5687249,0.519645396,0.92788274,0.560033475,0.575456605,0.771407799,-0.239987421,180,11.18549421,HNF1A_M6281_1.02,58,336,,,,,,,,,,,,,,
POU2F3,ENSG00000137709,311.6320847,81,32.14208692,0.868076772,0.713959126,1.215863402,0.224036962,0.467431716,-0.649680326,107,3.956886708,POU2F3_M5729_1.02,149.5,337.5,,,,,,,,,,,,,,
NKX31,ENSG00000167034,272.5504031,90,4975.612019,4.67659396,0.811538301,5.762628765,8.28E-09,1.23E-06,-8.0818972,1,0.85860174,NKX31_M3638_1.02,259,350,,,,,,,,,,,,,,
AP5Z1,ENSG00000242802,1110.354881,26,1400.307235,-0.089298468,0.35103261,-0.254387957,0.799195854,0.90361374,-0.097346778,298,25.49565682,AP5Z1_M0718_1.02,27.5,351.5,,,,,,,,,,,,,,
SPIC,ENSG00000166211,146.1652851,138,5.3574474,6.429469627,1.737020491,3.701435684,0.000214383,0.00439207,-3.668809654,12,2.423368018,SPIC_M5865_1.02,208,358,,,,,,,,,,,,,,
POU5F1B,ENSG00000212993,248.8151114,94,22.02942296,0.891099781,0.792856509,1.123910532,0.261050983,0.509693887,-0.583274667,115,3.956886708,POU5F1B_M5744_1.02,149.5,358.5,,,,,,,,,,,,,,
SPDEF,ENSG00000124664,172.435111,122,3590.011407,1.666342511,1.21055039,1.376516438,0.168661802,0.400565062,-0.772983265,99,4.314674573,SPDEF_M5857_1.02,143,364,,,,,,,,,,,,,,
FOXI2,ENSG00000186766,1132.904365,24,0.21106379,-1.070989461,3.325334673,-0.322069676,0.74739991,NA,-0.126446959,307,22.57743373,FOXI2_M1874_1.02,38,369,,,,,,,,,,,,,,
CDX1,ENSG00000113722,817.8870713,43,0.160684724,0.128173235,3.948310651,0.032462804,0.974102978,NA,-0.011395129,262,8.294147197,CDX1_M5312_1.02,74,379,,,,,,,,,,,,,,
GATA5,ENSG00000130700,555.3469135,62,10.69943785,-0.227107612,1.691724566,-0.13424621,0.893207886,0.951880533,-0.049047451,281,17.51032617,GATA5_M5479_1.02,46,389,,,,,,,,,,,,,,
NR1I2,ENSG00000144852,154.185755,133,5.998681218,0.587481325,0.848546523,0.69233838,0.488724853,0.709675468,-0.310935575,165,5.847607712,NR1I2_M6385_1.02,104,402,,,,,,,,,,,,,,
PRDM16,ENSG00000142611,273.6210077,88,83.39048072,0.09812635,1.246390309,0.078728428,0.937248633,0.971082906,-0.028145184,252,9.66352159,PRDM16_M1861_1.02,65,405,,,,,,,,,,,,,,
NR3C2,ENSG00000151623,600.2375516,56,723.3819118,-0.455612052,0.729344247,-0.62468725,0.532176343,0.741986053,-0.273944435,360,59.44735836,NR3C2_M5684_1.02,1,417,,,,,,,,,,,,,,
GRHL1,ENSG00000134317,519.0687574,66,1427.032426,-0.228955926,0.610184544,-0.375224066,0.707493833,0.853675356,-0.150277341,316,20.21829361,GRHL1_M5497_1.02,43,425,,,,,,,,,,,,,,
CUX2,ENSG00000111249,62.29208021,219,42.31828112,5.204208567,0.917444452,5.672505354,1.41E-08,1.92E-06,-7.851631455,3,2.39193906,CUX2_M5335_1.02,212,434,,,,,,,,,,,,,,
HOXA9,ENSG00000078399,826.1994806,42,1709.861165,-0.302881235,0.837763907,-0.361535311,0.717699313,0.859427169,-0.14405747,314,7.194683428,HOXA9_M5532_1.02,81,437,,,,,,,,,,,,,,
BPTF,ENSG00000171634,398.1219052,75,4790.407358,0.029302125,0.2840135,0.103171594,0.917826784,0.96232185,-0.037239273,249,5.31586089,BPTF_M3234_1.02,118,442,,,,,,,,,,,,,,
GATA3,ENSG00000107485,624.2137828,54,252.4578985,-0.726801474,1.410707652,-0.515203468,0.606410846,0.790888056,-0.21723304,341,17.35320545,GATA3_M5476_1.02,48,443,,,,,,,,,,,,,,
SRY,ENSG00000184895,719.0928578,47,0.634938602,-1.56212294,2.981328409,-0.523968757,0.600300271,NA,-0.221631461,347,12.51710959,SRY_M3961_1.02,54,448,,,,,,,,,,,,,,
ZNF35,ENSG00000169981,955.5929231,33,481.8167527,-0.400778809,0.651514948,-0.615149061,0.538456284,0.746392333,-0.26884955,357,10.22598935,ZNF35_M0436_1.02,60,450,,,,,,,,,,,,,,
