gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cpm_total_poly_1,cpm_total_poly_2,cpm_total_poly_3,cpm_14-LN_NE3_80S_S14,cpm_22-LN_NE4_80S_S22,cpm_6-LN_NE2_80S_S6,raw_total_poly_1,raw_total_poly_2,raw_total_poly_3,raw_14-LN_NE3_80S_S14,raw_22-LN_NE4_80S_S22,raw_6-LN_NE2_80S_S6
OR4F5,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SAMD11,770.1256212,-0.438230793,0.236459725,-0.491849927,0.622825438,1,14.99810095,21.85056066,17.414175,9.676864879,15.84339602,7.385020553,1093,1841,1548,413,484,274
NOC2L,4247.356448,1.508003238,0.113478026,10.45202484,1.4343E-25,4.75858E-24,170.7286112,180.4303222,170.5194216,25.00052016,30.14828044,26.06319297,12442,15202,15158,1067,921,967
KLHL17,2705.645167,-0.495062884,0.179818844,-0.962828952,0.335633369,0.673459464,49.74210059,83.43804531,53.90744613,37.86395556,41.70348456,36.65557647,3625,7030,4792,1616,1274,1360
PLEKHN1,279.1472137,-0.073563599,0.198508893,0,1,1,7.492189495,8.628657033,6.558439294,3.748906491,3.928114715,2.856978754,546,727,583,160,120,106
PERM1,330.9827303,0.027907671,0.224327402,0,1,1,9.440707643,10.05291954,8.380852957,5.271899753,3.862646137,2.883931384,688,847,745,225,118,107
HES4,8211.906335,-1.035828665,0.148914323,-4.794035612,1.63459E-06,1.20682E-05,124.7737712,173.4870424,148.2342274,121.0896797,152.9673339,131.5827385,9093,14617,13177,5168,4673,4882
ISG15,1960.875963,0.800302763,0.178547624,2.679255302,0.007378611,0.027757154,52.99420482,77.5273559,75.28143354,16.30774324,18.00385911,18.1121672,3862,6532,6692,696,550,672
AGRN,3351.302016,0.645889301,0.169437986,1.911975078,0.055879391,0.159832173,94.22869096,131.993528,112.7984062,28.09336802,40.19770725,28.11159284,6867,11121,10027,1199,1228,1043
RNF223,685.6189843,-2.098497822,0.272978277,-6.508099278,7.61076E-11,9.57128E-10,6.380710834,6.0175091,8.94332631,13.12117272,8.969195266,18.19302509,465,507,795,560,274,675
C1orf159,1156.516904,-0.648845083,0.161115944,-2.029079062,0.042450238,0.127074885,21.03576281,27.89180747,25.66003436,17.05752453,19.73877644,15.17433055,1533,2350,2281,728,603,563
TTLL10,13.20020768,-1.044745414,0.920453115,-0.785284233,0.432286938,0.814316174,0.192107423,0.344196773,0.19124094,0.492043977,0.130937157,0.02695263,14,29,17,21,4,1
TNFRSF18,1224.797451,0.194608286,0.820576956,0,1,1,14.92949116,50.1103026,42.50048654,16.23745124,22.81579964,3.692510277,1088,4222,3778,693,697,137
TNFRSF4,4.914971156,-1.726026866,1.495913562,-0.93862293,0.347924376,0.692093091,0.013721959,0.118688542,0.056247335,0.023430666,0,0.242573668,1,10,5,1,0,9
SDF4,11604.18603,1.290635348,0.160769943,6.025425107,1.68666E-09,1.82119E-08,400.159762,422.4956044,534.8671607,76.54798441,84.88001214,85.33202581,29162,35597,47546,3267,2593,3166
B3GALT6,4522.165443,-0.670816479,0.200364213,-1.741270957,0.081636095,0.219426772,74.90817299,116.3741158,97.79161712,56.16330537,92.0160872,57.16652771,5459,9805,8693,2397,2811,2121
UBE2J2,3518.213042,0.134818937,0.144279301,0,1,1,89.39856147,113.1101809,102.7638816,41.80030737,46.97370513,34.6880345,6515,9530,9135,1784,1435,1287
SCNN1D,385.9126896,-0.808059627,0.19890916,-2.443987656,0.014525924,0.050354349,7.162862485,9.317050579,6.850925437,4.9673011,7.39794938,5.740910138,522,785,609,212,226,213
ACAP3,4853.560668,0.249540128,0.175066322,0,1,1,128.5335879,178.1158956,132.0124959,45.36176854,71.03340776,47.35577048,9367,15007,11735,1936,2170,1757
PUSL1,3670.666853,-0.069057411,0.16367068,0,1,1,82.86690909,101.5973923,111.2459797,42.97184065,54.63352883,40.80628145,6039,8560,9889,1834,1669,1514
CPTP,4019.371166,0.359979473,0.188360939,0.202013102,0.839906481,1,95.3127257,154.6036953,124.6215961,40.11329945,53.88064018,35.90090283,6946,13026,11078,1712,1646,1332
