gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cpm_total_poly_1,cpm_total_poly_2,cpm_total_poly_3,cpm_total_poly_4,cpm_LNCaP_TCT1_80S_S34,cpm_LNCaP_TCT2_80S_S38,cpm_LNCaP_TCT3_80S_S42,cpm_LNCaP_TCT4_80S_S46,raw_total_poly_1,raw_total_poly_2,raw_total_poly_3,raw_total_poly_4,raw_LNCaP_TCT1_80S_S34,raw_LNCaP_TCT2_80S_S38,raw_LNCaP_TCT3_80S_S42,raw_LNCaP_TCT4_80S_S46
OR4F5,4.115947822,-2.376499875,1.137243162,-1.806624871,0.070820789,0.242136612,0.021833322,0.006935915,0.037266437,0.030547556,0.046403463,0.012827298,0.098831209,0.076649013,3,1,5,2,3,1,7,3
OR4F29,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD11,695.3311286,-0.196734115,0.259957833,0,1,1,12.18299354,13.87183001,8.683079904,10.0195984,4.934234924,7.080668297,5.760447634,7.07725891,1674,2000,1165,656,319,552,408,277
NOC2L,7838.4409,1.232755497,0.235089241,3.87438999,0.000106892,0.001151695,209.4325001,181.0412534,237.543725,140.6256744,33.10113711,41.50913516,43.27395098,37.40471857,28777,26102,31871,9207,2140,3236,3065,1464
KLHL17,4003.84788,-0.539313418,0.251922785,-0.86290457,0.388189938,0.811706663,61.57724513,68.81121274,52.51586352,42.49165051,29.00216452,39.49524943,49.68386085,41.46711628,8461,9921,7046,2782,1875,3079,3519,1623
PLEKHN1,547.0455596,0.534561255,0.235656123,0.902302716,0.366896083,0.782566714,12.10293803,12.13785126,11.41843641,9.378099718,3.217306784,3.69426172,4.376810702,3.525854619,1663,1750,1532,614,208,288,310,138
PERM1,163.2061846,0.271095339,0.231001997,0,1,1,3.282276038,2.982443451,2.973861701,3.299136057,0.928069265,1.372520847,1.327161955,1.3285829,451,430,399,216,60,107,94,52
HES4,4417.377959,0.604075183,0.282844364,0.997534772,0.318505004,0.711820862,62.23224478,116.0586657,104.9348343,91.21500247,30.51801099,33.17139169,22.02524095,28.36013498,8551,16733,14079,5972,1973,2586,1560,1110
ISG15,2392.108018,1.12341798,0.349087538,2.29595674,0.021678355,0.096341382,55.41297062,68.40199376,54.81147606,49.24266041,14.29226668,17.13726965,7.059372101,9.632226025,7614,9862,7354,3224,924,1336,500,377
AGRN,6170.975141,0.99717103,0.317366617,2.127643233,0.033366675,0.134138656,133.3069849,174.4174546,131.63251,132.7749525,19.45851892,21.1650411,58.04215741,43.58773899,18317,25147,17661,8693,1258,1650,4111,1706
RNF223,618.7864617,-0.368238924,0.39645768,-0.116811531,0.907009406,1,10.36355006,12.14478717,7.460740759,7.163401902,6.790373453,8.106852108,3.317904887,3.960199029,1424,1751,1001,469,439,632,235,155
C1orf159,1991.472115,-0.092229483,0.198642303,0,1,1,30.29009505,32.75832656,39.2042921,33.69395436,11.5235267,15.27731149,23.47947161,19.51994876,4162,4723,5260,2206,745,1191,1663,764
TTLL10,12.71219263,-1.029171024,0.78779882,-0.897745607,0.369321189,0.786305759,0.196499896,0.159526045,0.1192526,0.106916446,0.077339105,0.128272976,0.338849861,0.025549671,27,23,16,7,5,10,24,1
TNFRSF18,329.1797205,-0.035178855,0.395401547,0,1,1,6.062385675,8.371649409,3.734097023,4.017003625,2.644997404,3.360751981,3.204954934,1.609629283,833,1207,501,263,171,262,227,63
TNFRSF4,10.25013643,-1.199773721,1.043936272,-0.840899631,0.400404165,0.827266237,0.145555478,0.15259013,0.081986162,0.045821334,0.015467821,0.205236762,0.26825614,0,20,22,11,3,1,16,19,0
SDF4,17972.47518,1.291249135,0.23881206,4.058928339,4.92984E-05,0.000593568,464.3947538,488.8155457,411.8015861,411.8726987,89.8989761,89.44474643,76.93303715,83.75182204,63810,70476,55251,26966,5812,6973,5449,3278
B3GALT6,6459.052268,-0.199443714,0.333034453,0,1,1,71.48229544,70.69778163,158.6134107,133.981581,33.45689699,34.55673984,89.9787568,80.91580854,9822,10193,21281,8772,2163,2694,6373,3167
